hits,MC1um,MC2.5um,MC10um,AMC1um,AMC2.5um,AMC10um,NC03um,NC05um,NC10um,NC25um,NC50um,NC100um
105,101,373,504,67,248,335,22884,6851,3397,679,168,86
106,101,371,509,67,247,339,22851,6809,3424,674,182,94
107,99,364,504,65,242,335,22659,6753,3362,686,181,92
108,97,358,503,64,238,335,22500,6685,3359,687,188,92
109,94,367,515,62,244,343,22518,6692,3376,730,190,102
110,93,360,507,61,239,337,22563,6721,3393,725,190,110
111,98,376,518,65,250,345,22989,6856,3440,725,175,102
112,99,385,531,65,256,354,23364,6987,3526,753,176,112
113,98,388,522,64,258,348,23118,6882,3484,761,166,100
114,93,372,506,61,247,337,22374,6639,3435,732,163,90
115,96,365,503,63,242,334,22584,6703,3360,681,170,92
116,99,371,523,65,247,348,22632,6726,3366,737,187,107
117,99,365,507,65,242,338,22428,6697,3326,698,181,103
118,100,362,516,66,240,344,22434,6699,3330,718,192,115
119,97,359,524,64,238,349,22161,6597,3270,757,209,130
120,97,369,522,64,245,348,22533,6726,3383,725,196,123
121,108,392,550,71,261,366,24012,7165,3536,749,203,111
122,108,373,520,71,248,346,23574,7047,3407,700,185,104
123,107,373,522,70,248,348,23712,7104,3396,708,188,112
124,102,366,517,67,243,344,22911,6877,3353,712,184,118
125,100,364,507,66,242,337,22689,6819,3295,697,167,118
126,99,359,508,65,239,338,22176,6622,3266,700,178,126
127,99,360,510,65,239,339,22356,6690,3253,685,193,118
128,101,356,494,67,237,329,22521,6712,3179,651,179,109
129,97,367,519,64,244,345,22617,6739,3336,703,207,108
130,100,375,514,66,249,342,23001,6854,3382,720,194,90
131,100,374,504,66,249,335,23229,6848,3325,726,174,82
132,102,363,486,67,241,323,23058,6801,3239,684,161,80
133,102,361,497,67,240,331,22935,6818,3278,679,180,90
134,102,362,505,67,241,336,22524,6746,3351,671,188,102
135,99,362,508,65,241,338,22434,6651,3395,681,189,100
136,100,370,521,66,246,347,22848,6770,3357,729,193,108
137,103,369,499,68,245,332,23076,6928,3356,699,171,88
138,99,372,509,65,247,339,22947,6823,3407,701,173,82
139,92,367,503,60,244,334,22521,6653,3358,706,169,84
140,90,357,511,59,237,340,21948,6538,3359,700,207,109
141,93,374,545,61,249,363,22740,6742,3430,792,228,135
142,100,377,511,66,251,340,23064,6823,3295,751,161,99
143,100,369,512,66,245,341,22545,6737,3286,717,174,106
144,100,370,501,66,246,333,22461,6692,3249,706,161,92
145,101,377,504,67,251,335,22572,6747,3323,717,161,90
146,101,378,503,67,251,335,22875,6789,3305,719,161,89
147,101,367,473,67,244,315,22743,6735,3248,666,131,69
148,100,372,485,66,247,323,22935,6803,3334,680,138,73
149,100,371,488,66,247,325,22863,6815,3337,676,147,77
150,100,363,493,66,241,328,22836,6779,3323,663,166,91
151,95,352,493,63,234,328,22149,6596,3321,634,197,100
152,96,354,502,63,235,334,22479,6659,3353,653,199,108
153,101,374,549,66,248,365,22956,6818,3391,731,230,126
154,99,377,540,65,250,360,23163,6899,3484,739,211,110
